epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1803,1.80776,6.94909,1.85739,0.00135,0.05455,0.00086,0.00015,1.92548,6.39592,2.07107,7.777e-05,7.777e-05,7.777e-05
2,75.7395,1.41836,4.18226,1.5537,0.49642,0.69045,0.54194,0.35753,1.03845,4.11686,1.3926,0.000165,0.000165,0.000165
3,81.6082,1.00139,1.71188,1.24057,0.25007,0.86282,0.26801,0.22313,0.90977,24.1833,1.22038,0.000250471,0.000250471,0.000250471
4,87.2035,0.93318,1.20102,1.15327,0.35235,0.62342,0.54594,0.3435,1.0627,12.1268,1.40421,0.000334181,0.000334181,0.000334181
5,93.5333,0.90207,0.97491,1.11938,0.73321,0.5063,0.74825,0.54322,1.02079,2.2739,1.26879,0.000416132,0.000416132,0.000416132
6,98.8595,0.93759,0.85568,1.16532,0.6077,0.50691,0.61319,0.44161,0.96031,2.40317,1.27761,0.000496323,0.000496323,0.000496323
7,104.745,0.86621,0.71568,1.08418,0.64254,0.58297,0.62805,0.49097,0.89806,1.55111,1.22758,0.000574754,0.000574754,0.000574754
8,111.324,0.85832,0.66893,1.07766,0.82251,0.67185,0.75424,0.57471,0.99811,1.34969,1.23471,0.000651425,0.000651425,0.000651425
9,117.539,0.84635,0.63979,1.08771,0.77141,0.52058,0.64961,0.45739,1.19688,1.84254,1.45858,0.000726336,0.000726336,0.000726336
10,123.248,0.84873,0.64298,1.09738,0.56918,0.42711,0.51779,0.3033,1.40199,2.27561,1.67833,0.000799488,0.000799488,0.000799488
11,129.177,0.9268,0.71899,1.13818,0.66631,0.47633,0.49394,0.31228,1.30095,2.58505,1.55567,0.00087088,0.00087088,0.00087088
12,135.107,0.8409,0.6434,1.06718,0.537,0.57172,0.53794,0.35907,1.15901,1.94579,1.44856,0.000940511,0.000940511,0.000940511
13,141.387,0.83196,0.63378,1.05659,0.599,0.54098,0.60633,0.45766,1.10779,2.21559,1.38444,0.000979013,0.000979013,0.000979013
14,147.349,0.87568,0.64122,1.1026,0.70481,0.55041,0.64349,0.46337,1.12972,2.11748,1.37033,0.000968014,0.000968014,0.000968014
15,152.816,0.8787,0.59197,1.1113,0.85635,0.76734,0.89314,0.63004,1.03457,0.97792,1.31484,0.000957015,0.000957015,0.000957015
16,158.05,0.9021,0.67735,1.13476,0.92635,0.89242,0.93532,0.67085,0.963,0.85522,1.22619,0.000946016,0.000946016,0.000946016
17,164.096,0.85876,0.63155,1.11447,0.94001,0.87207,0.94873,0.69685,1.01849,0.76283,1.27192,0.000935018,0.000935018,0.000935018
18,169.375,0.83716,0.53287,1.06942,0.87173,0.84132,0.91575,0.70153,0.94395,0.83315,1.21753,0.000924019,0.000924019,0.000924019
19,175.492,0.85328,0.57869,1.09011,0.88913,0.82538,0.87609,0.64742,0.96963,1.04715,1.24375,0.00091302,0.00091302,0.00091302
20,181.6,0.84862,0.5774,1.08194,0.91351,0.88645,0.94344,0.71978,0.95412,0.65154,1.24836,0.000902021,0.000902021,0.000902021
21,187.333,0.81176,0.54076,1.05216,0.82789,0.85318,0.91047,0.64998,1.09701,0.96783,1.47033,0.000891022,0.000891022,0.000891022
22,194.865,0.79448,0.5376,1.06087,0.85147,0.8974,0.86887,0.67001,0.97645,0.8019,1.30012,0.000880023,0.000880023,0.000880023
23,200.651,0.76806,0.50678,1.03763,0.87219,0.85206,0.91118,0.66515,1.01107,0.8819,1.34683,0.000869024,0.000869024,0.000869024
24,206.738,0.78111,0.51374,1.05521,0.9296,0.827,0.93384,0.66491,1.0689,0.96935,1.3629,0.000858025,0.000858025,0.000858025
25,212.256,0.81083,0.52215,1.07289,0.92724,0.88544,0.94023,0.68144,1.03675,0.75148,1.312,0.000847026,0.000847026,0.000847026
26,217.975,0.78381,0.502,1.03525,0.88077,0.93679,0.93502,0.65717,1.19387,0.70285,1.54671,0.000836027,0.000836027,0.000836027
27,224.864,0.8623,0.55205,1.11511,0.90562,0.9632,0.96017,0.74595,0.90387,0.57291,1.20409,0.000825029,0.000825029,0.000825029
28,230.12,0.76727,0.49192,1.01949,0.89193,0.87039,0.94573,0.71575,0.98565,0.69826,1.29692,0.00081403,0.00081403,0.00081403
29,236.139,0.79566,0.5192,1.05187,0.85063,0.93752,0.9591,0.71174,1.00445,0.66396,1.28005,0.000803031,0.000803031,0.000803031
30,242.335,0.80147,0.47366,1.08902,0.80989,0.85791,0.88753,0.67506,0.9281,0.92435,1.22739,0.000792032,0.000792032,0.000792032
31,248.711,0.77956,0.46954,1.03367,0.86791,0.88146,0.98385,0.75225,0.88273,0.64459,1.21839,0.000781033,0.000781033,0.000781033
32,254.068,0.78718,0.47956,1.07368,0.87105,0.93605,0.94453,0.70583,0.9913,0.64187,1.32023,0.000770034,0.000770034,0.000770034
33,258.985,0.76083,0.46068,1.03995,0.92637,0.93466,0.9719,0.72699,0.88949,0.56171,1.2261,0.000759035,0.000759035,0.000759035
34,265.434,0.75752,0.46489,1.02348,0.877,0.92885,0.94951,0.73182,0.90922,0.56405,1.2178,0.000748036,0.000748036,0.000748036
35,270.9,0.71492,0.44228,1.00929,0.9009,0.98333,0.9647,0.72743,1.00782,0.49929,1.35257,0.000737037,0.000737037,0.000737037
36,276.628,0.76708,0.45252,1.01836,0.95217,0.96364,0.9714,0.71956,1.01074,0.47679,1.33666,0.000726038,0.000726038,0.000726038
37,282.261,0.77298,0.44843,1.05927,0.95222,0.99738,0.98777,0.77171,0.93501,0.42243,1.24625,0.00071504,0.00071504,0.00071504
38,287.673,0.7631,0.45814,1.04535,0.90351,0.95498,0.96814,0.7595,0.90026,0.54249,1.20839,0.000704041,0.000704041,0.000704041
39,293.532,0.71199,0.42685,0.99984,0.8946,0.96789,0.98,0.76658,0.90434,0.47801,1.21809,0.000693042,0.000693042,0.000693042
40,298.653,0.72764,0.4236,1.01134,0.94099,0.95041,0.9905,0.76307,0.95045,0.45987,1.28632,0.000682043,0.000682043,0.000682043
41,304.25,0.70185,0.42529,1.02729,0.97354,1,0.983,0.76371,0.92844,0.40381,1.2728,0.000671044,0.000671044,0.000671044
42,309.81,0.67047,0.40662,0.99502,0.96368,0.97024,0.9875,0.76555,0.93698,0.44593,1.32341,0.000660045,0.000660045,0.000660045
43,314.784,0.70846,0.44678,1.00291,0.97069,0.98265,0.9813,0.78309,0.89968,0.44153,1.23366,0.000649046,0.000649046,0.000649046
44,320.853,0.69061,0.42804,0.99785,0.9658,0.97936,0.97399,0.7702,0.89966,0.42274,1.24062,0.000638047,0.000638047,0.000638047
45,326.156,0.6456,0.39901,0.98806,0.9734,0.96995,0.98521,0.76359,0.92289,0.42837,1.24686,0.000627048,0.000627048,0.000627048
46,331.055,0.64234,0.41362,0.97805,0.96001,0.93744,0.98569,0.77431,0.89002,0.49767,1.23991,0.000616049,0.000616049,0.000616049
47,336.809,0.69009,0.39501,0.99846,0.97006,0.95275,0.9935,0.76458,0.90986,0.45609,1.26761,0.000605051,0.000605051,0.000605051
48,342.045,0.66522,0.3963,0.98744,0.95243,0.92838,0.9935,0.75773,0.92218,0.48743,1.26573,0.000594052,0.000594052,0.000594052
49,347.444,0.68855,0.42186,1.00178,0.92269,0.96938,0.9905,0.77183,0.90455,0.4465,1.24962,0.000583053,0.000583053,0.000583053
50,352.974,0.65252,0.39241,0.97766,0.9679,0.95388,0.995,0.78618,0.91384,0.43062,1.28421,0.000572054,0.000572054,0.000572054
51,358.037,0.68567,0.42589,1.00365,0.9413,0.9865,0.989,0.76116,0.91974,0.43658,1.2763,0.000561055,0.000561055,0.000561055
52,363.918,0.67871,0.41301,0.98762,0.93484,0.93856,0.992,0.75742,0.96835,0.5059,1.35336,0.000550056,0.000550056,0.000550056
53,369.24,0.65194,0.39998,0.96897,0.93187,0.93376,0.98241,0.75496,0.93763,0.54453,1.33744,0.000539057,0.000539057,0.000539057
54,374.263,0.63598,0.37856,0.97371,0.93607,0.93528,0.9682,0.76638,0.85543,0.48892,1.22199,0.000528058,0.000528058,0.000528058
55,380.081,0.63744,0.36724,0.97619,0.90621,0.93441,0.94267,0.72547,0.88188,0.5769,1.25679,0.000517059,0.000517059,0.000517059
56,386.117,0.64465,0.37101,0.9626,0.92643,0.93345,0.93918,0.73387,0.86913,0.55731,1.25791,0.00050606,0.00050606,0.00050606
57,391.926,0.64696,0.38702,0.97361,0.94006,0.94884,0.96014,0.74977,0.87795,0.50573,1.26737,0.000495062,0.000495062,0.000495062
58,397.846,0.65466,0.36771,0.98259,0.96939,1,0.97842,0.77483,0.88283,0.39821,1.24225,0.000484063,0.000484063,0.000484063
59,402.725,0.62066,0.34789,0.95468,0.97228,1,0.9815,0.79118,0.86639,0.36478,1.22882,0.000473064,0.000473064,0.000473064
