epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,408.744,0.621,0.35812,0.97219,0.96978,1,0.9815,0.78646,0.84336,0.35955,1.18452,0.000462065,0.000462065,0.000462065
61,414.16,0.62707,0.36514,0.97985,0.94668,0.96814,0.97914,0.7775,0.84402,0.41924,1.20275,0.000451066,0.000451066,0.000451066
62,420.579,0.6576,0.37974,0.99124,0.97739,0.95597,0.986,0.78387,0.89432,0.39188,1.26607,0.000440067,0.000440067,0.000440067
63,426.317,0.5847,0.34216,0.94617,0.9706,0.97937,0.986,0.77574,0.89735,0.39008,1.2807,0.000429068,0.000429068,0.000429068
64,431.357,0.60689,0.35001,0.96471,0.95478,0.98506,0.9845,0.79012,0.87557,0.39945,1.23556,0.000418069,0.000418069,0.000418069
65,437.263,0.5895,0.34705,0.9665,0.95393,0.95776,0.986,0.79764,0.83395,0.3966,1.18321,0.00040707,0.00040707,0.00040707
66,442.622,0.59733,0.35006,0.96623,0.9519,0.95333,0.989,0.78009,0.88567,0.45254,1.22262,0.000396071,0.000396071,0.000396071
67,448.133,0.60788,0.35527,0.96548,0.96674,0.94304,0.9875,0.78839,0.86321,0.4317,1.19764,0.000385073,0.000385073,0.000385073
68,455.308,0.55193,0.33115,0.94639,0.90278,0.98649,0.99223,0.78817,0.91462,0.44323,1.25326,0.000374074,0.000374074,0.000374074
69,460.327,0.60318,0.34588,0.96627,0.91793,0.9681,0.99059,0.78553,0.91885,0.4401,1.27095,0.000363075,0.000363075,0.000363075
70,466.246,0.54847,0.31556,0.92738,0.92271,0.96779,0.98951,0.7895,0.87625,0.42936,1.22609,0.000352076,0.000352076,0.000352076
71,471.372,0.57364,0.33113,0.94168,0.94713,0.93753,0.97057,0.7484,0.95829,0.47652,1.32201,0.000341077,0.000341077,0.000341077
72,477.089,0.57688,0.33046,0.94517,0.95193,0.93857,0.96975,0.79153,0.84668,0.439,1.21978,0.000330078,0.000330078,0.000330078
73,482.77,0.59765,0.34319,0.95988,0.90618,0.96876,0.9752,0.78684,0.87654,0.43723,1.23366,0.000319079,0.000319079,0.000319079
74,487.877,0.55945,0.30328,0.9425,0.9577,0.95153,0.99223,0.80948,0.85906,0.38494,1.23315,0.00030808,0.00030808,0.00030808
75,493.638,0.54866,0.33924,0.94445,0.95941,0.96789,0.99223,0.79718,0.91434,0.3749,1.29022,0.000297081,0.000297081,0.000297081
76,498.99,0.52764,0.29809,0.93309,0.97472,0.97363,0.986,0.78245,0.92621,0.35763,1.31147,0.000286083,0.000286083,0.000286083
77,505.876,0.52741,0.30292,0.91224,0.9365,0.99558,0.986,0.79322,0.87865,0.35913,1.27458,0.000275084,0.000275084,0.000275084
78,511.355,0.51374,0.2979,0.93188,0.93885,0.96681,0.97914,0.7875,0.87246,0.39351,1.25935,0.000264085,0.000264085,0.000264085
79,516.437,0.53113,0.3068,0.94944,0.94569,0.96737,0.98114,0.80379,0.85887,0.39944,1.25179,0.000253086,0.000253086,0.000253086
80,522.203,0.55774,0.30444,0.95487,0.94876,0.95762,0.97624,0.79787,0.86407,0.38864,1.26158,0.000242087,0.000242087,0.000242087
81,527.513,0.52896,0.30423,0.9172,0.94933,0.95696,0.97314,0.79042,0.84521,0.40028,1.26805,0.000231088,0.000231088,0.000231088
82,532.913,0.53789,0.3132,0.95441,0.95002,0.95168,0.97296,0.76669,0.90174,0.45452,1.30657,0.000220089,0.000220089,0.000220089
83,538.44,0.53081,0.30189,0.93609,0.93677,0.9505,0.9645,0.76677,0.89706,0.47351,1.28804,0.00020909,0.00020909,0.00020909
84,543.448,0.50951,0.28969,0.91619,0.93314,0.94858,0.96699,0.78145,0.85986,0.48202,1.26099,0.000198091,0.000198091,0.000198091
85,549.287,0.51498,0.28929,0.93041,0.94057,0.94026,0.97501,0.77493,0.90586,0.49061,1.31111,0.000187092,0.000187092,0.000187092
86,554.611,0.48067,0.27871,0.89744,0.93978,0.94623,0.97989,0.78888,0.8721,0.44439,1.27329,0.000176094,0.000176094,0.000176094
87,559.534,0.49299,0.2926,0.9298,0.93992,0.94965,0.98114,0.78956,0.87493,0.42077,1.28991,0.000165095,0.000165095,0.000165095
88,565.372,0.51881,0.28946,0.92592,0.93894,0.9682,0.98269,0.7848,0.87412,0.41023,1.2829,0.000154096,0.000154096,0.000154096
89,570.395,0.49767,0.2871,0.90966,0.94685,0.96815,0.98167,0.78923,0.85263,0.39425,1.26118,0.000143097,0.000143097,0.000143097
90,576.018,0.50106,0.27861,0.93532,0.95192,0.96757,0.98406,0.7888,0.88847,0.39806,1.29322,0.000132098,0.000132098,0.000132098
91,584.27,0.44499,0.2471,0.89463,0.9577,0.9669,0.98766,0.78601,0.92726,0.37973,1.32921,0.000121099,0.000121099,0.000121099
92,590.633,0.41799,0.22774,0.87616,0.95877,0.96093,0.98406,0.78785,0.89247,0.36728,1.28395,0.0001101,0.0001101,0.0001101
93,597.123,0.43411,0.23256,0.88974,0.95674,0.95993,0.98406,0.79303,0.85879,0.3621,1.25548,9.91012e-05,9.91012e-05,9.91012e-05
94,602.087,0.42412,0.23188,0.89673,0.9556,0.96088,0.98766,0.78853,0.8864,0.39663,1.29225,8.81023e-05,8.81023e-05,8.81023e-05
95,608.069,0.42486,0.23007,0.90144,0.95739,0.95942,0.98766,0.78317,0.90431,0.39884,1.32318,7.71034e-05,7.71034e-05,7.71034e-05
96,613.187,0.41478,0.22619,0.87847,0.95756,0.96289,0.98766,0.78471,0.89308,0.38963,1.31207,6.61045e-05,6.61045e-05,6.61045e-05
97,618.645,0.39458,0.22121,0.88849,0.95681,0.96579,0.98946,0.78862,0.87877,0.38803,1.30054,5.51056e-05,5.51056e-05,5.51056e-05
98,624.116,0.38866,0.21624,0.86925,0.95755,0.96696,0.99059,0.7894,0.87518,0.3869,1.29852,4.41067e-05,4.41067e-05,4.41067e-05
99,629.022,0.40422,0.22219,0.86523,0.95574,0.9629,0.99059,0.79168,0.87533,0.39164,1.30398,3.31078e-05,3.31078e-05,3.31078e-05
100,634.924,0.40511,0.22134,0.86022,0.95289,0.96001,0.99059,0.7912,0.87361,0.39782,1.30269,2.21089e-05,2.21089e-05,2.21089e-05
